"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_det_limit","ATX_det_limit","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g"
"SFE-M-3","n","2022-07-14","TM","11/30/2022",176,10,"0.1% formic acid","0.1",0.1314,"ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2/10/2023",212.1,10,"50% methanol","0.08",0.1082,"ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2/10/2023",191.5,10,"50% methanol","0.08",0.1108,"ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2/10/2023",196.5,10,"50% methanol","0.08",0.1075,"ND","ND","ND","ND","ND"
"SFE-M-3","n","2022-06-29","TM","12/8/2023",232.3,10,"50% methanol","0.07",0.0982,"ND","ND","ND","ND","ND"
"SFE-M-4","n","2022-06-29","TM","2/10/2023",179.5,10,"50% methanol","0.08",0.1073,"ND","ND","ND","ND","ND"
"SAL-1S","n","2022-07-12","TM","2/10/2023",181.5,10,"50% methanol","0.07",0.0973,"ND","ND","ND","ND","ND"
"SAL-2","n","2022-07-12","TM","2/10/2023",176.9,5,"50% methanol","0.1",0.1307,"1.37","ND","ND","ND","ND"
"SAL-3","n","2022-07-12","TM","2/10/2023",132.8,10,"50% methanol","0.06",0.0871,"ND","ND","ND","ND","ND"
"SFE-M-1S","n","2022-07-14","TM","2/10/2023",194.9,10,"50% methanol","0.09",0.1187,"0.73","ND","ND","ND","ND"
"SAL-1S","y","2022-07-26","TM","2/10/2023",103.3,5,"50% methanol","0.08",0.1119,"ND","ND","ND","ND","ND"
"SAL-1S","y","2022-07-26","TM","2/10/2023",113.6,5,"50% methanol","0.08",0.1018,"1.11","ND","ND","ND","ND"
"SAL-1S","y","2022-07-26","TM","2/10/2023",98.3,5,"50% methanol","0.09",0.1176,"1.08","ND","0.205","ND","ND"
